fips,year,area
00000,2000,3537438.44
00000,2010,3531905.43
01000,2000,50744
01000,2010,50645.33
01001,2000,595.97
01001,2010,594.44
01003,2000,1596.35
01003,2010,1589.78
01005,2000,884.9
01005,2010,884.88
01007,2000,623.03
01007,2010,622.58
01009,2000,645.59
01009,2010,644.78
01011,2000,625.01
01011,2010,622.81
01013,2000,776.87
01013,2010,776.83
01015,2000,608.46
01015,2010,605.87
01017,2000,597.17
01017,2010,596.53
01019,2000,553.12
01019,2010,553.7
01021,2000,693.98
01021,2010,692.85
01023,2000,913.51
01023,2010,913.5
01025,2000,1238.38
01025,2010,1238.47
01027,2000,605.07
01027,2010,603.96
01029,2000,560.21
01029,2010,560.1
01031,2000,678.99
01031,2010,678.97
01033,2000,594.53
01033,2010,592.62
01035,2000,850.79
01035,2010,850.16
01037,2000,652.44
01037,2010,650.93
01039,2000,1033.82
01039,2010,1030.46
01041,2000,609.58
01041,2010,608.84
01043,2000,738.43
01043,2010,734.84
01045,2000,561.07
01045,2010,561.15
01047,2000,980.71
01047,2010,978.7
01049,2000,777.91
01049,2010,777.09
01051,2000,621.26
01051,2010,618.49
01053,2000,947.38
01053,2010,945.08
01055,2000,534.82
01055,2010,534.99
01057,2000,627.66
01057,2010,627.66
01059,2000,635.64
01059,2010,633.82
01061,2000,576.28
01061,2010,574.41
01063,2000,645.87
01063,2010,647.11
01065,2000,643.74
01065,2010,643.94
01067,2000,561.8
01067,2010,561.75
01069,2000,580.36
01069,2010,579.82
01071,2000,1078.74
01071,2010,1077.87
01073,2000,1112.61
01073,2010,1111.28
01075,2000,604.85
01075,2010,604.85
01077,2000,669.46
01077,2010,667.7
01079,2000,693.38
01079,2010,690.68
01081,2000,608.71
01081,2010,607.54
01083,2000,568.05
01083,2010,559.94
01085,2000,717.94
01085,2010,715.91
01087,2000,610.52
01087,2010,608.89
01089,2000,804.92
01089,2010,801.59
01091,2000,977.04
01091,2010,976.88
01093,2000,741.41
01093,2010,742.29
01095,2000,567.06
01095,2010,565.84
01097,2000,1233.09
01097,2010,1229.44
01099,2000,1025.85
01099,2010,1025.68
01101,2000,789.76
01101,2010,784.25
01103,2000,582.21
01103,2010,579.34
01105,2000,719.48
01105,2010,719.66
01107,2000,881.42
01107,2010,881.41
01109,2000,671.03
01109,2010,672.09
01111,2000,581.05
01111,2010,580.55
01113,2000,641.32
01113,2010,641.14
01115,2000,633.75
01115,2010,631.9
01117,2000,794.69
01117,2010,784.93
01119,2000,904.94
01119,2010,903.89
01121,2000,739.53
01121,2010,736.78
01123,2000,717.93
01123,2010,716.52
01125,2000,1324.37
01125,2010,1321.76
01127,2000,794.39
01127,2010,791.19
01129,2000,1080.66
01129,2010,1080.21
01131,2000,888.68
01131,2010,888.5
01133,2000,614.44
01133,2010,612.98
02000,2000,571951.26
02000,2010,570640.95
02013,2000,6988.14
02013,2010,6981.94
02016,2000,4396.77
02016,2010,4390.28
02020,2000,1697.21
02020,2010,1704.68
02050,2000,40633.31
02050,2010,40570
02060,2000,504.92
02060,2010,503.84
02068,2000,12749.65
02068,2010,12751.41
02070,2000,18674.78
02070,2010,18568.78
02090,2000,7366.24
02090,2010,7338.21
02100,2000,2343.73
02100,2010,2318.6
02105,2000,7896.48
02105,2010,7524.92
02110,2000,2716.67
02110,2010,2701.93
02122,2000,16013.26
02122,2010,16075.33
02130,2000,1233.22
02130,2010,4858.41
02150,2000,6559.85
02150,2010,6549.58
02164,2000,23781.96
02164,2010,23652.01
02170,2000,24681.54
02170,2010,24607.9
02180,2000,23000.91
02180,2010,22961.76
02185,2000,88817.12
02185,2010,88695.41
02188,2000,35898.34
02188,2010,35572.58
02195,2000,5834.94
02195,2010,3281.98
02198,2000,7410.62
02198,2010,3922.87
02220,2000,2873.98
02220,2010,2870.34
02230,2000,0
02230,2010,452.33
02240,2000,24814.86
02240,2010,24768.81
02261,2000,34319.1
02261,2010,34239.88
02270,2000,17193.5
02270,2010,17081.43
02275,2000,0
02275,2010,2541.48
02282,2000,7650.46
02282,2010,7649.46
02290,2000,145899.69
02290,2010,145504.79
04000,2000,113634.57
04000,2010,113594.08
04001,2000,11204.88
04001,2010,11197.52
04003,2000,6169.45
04003,2010,6165.69
04005,2000,18617.42
04005,2010,18618.89
04007,2000,4767.7
04007,2010,4757.93
04009,2000,4629.32
04009,2010,4622.6
04011,2000,1847
04011,2010,1843.13
04012,2000,4499.95
04012,2010,4499.63
04013,2000,9203.14
04013,2010,9200.14
04015,2000,13311.64
04015,2010,13311.08
04017,2000,9953.18
04017,2010,9950.42
04019,2000,9186.27
04019,2010,9187.04
04021,2000,5369.59
04021,2010,5365.61
04023,2000,1237.63
04023,2010,1236.92
04025,2000,8123.3
04025,2010,8123.5
04027,2000,5514.09
04027,2010,5513.99
05000,2000,52068.17
05000,2010,52035.48
05001,2000,988.49
05001,2010,988.77
05003,2000,921.15
05003,2010,925.35
05005,2000,554.36
05005,2010,554.28
05007,2000,845.99
05007,2010,847.36
05009,2000,591.18
05009,2010,590.23
05011,2000,650.63
05011,2010,649.23
05013,2000,628.27
05013,2010,628.58
05015,2000,630.27
05015,2010,630.09
05017,2000,644.03
05017,2010,644.3
05019,2000,865.43
05019,2010,866.07
05021,2000,639.3
05021,2010,639.47
05023,2000,553.05
05023,2010,553.69
05025,2000,597.74
05025,2010,597.78
05027,2000,766.11
05027,2010,766.05
05029,2000,556.15
05029,2010,552.25
05031,2000,710.84
05031,2010,707.21
05033,2000,595.39
05033,2010,593.09
05035,2000,610.17
05035,2010,609.76
05037,2000,615.85
05037,2010,616.38
05039,2000,667.42
05039,2010,667.39
05041,2000,764.99
05041,2010,768.15
05043,2000,828.18
05043,2010,828.36
05045,2000,647.38
05045,2010,647.88
05047,2000,609.55
05047,2010,608.86
05049,2000,618.16
05049,2010,618.19
05051,2000,677.22
05051,2010,677.78
05053,2000,631.78
05053,2010,631.81
05055,2000,577.51
05055,2010,577.7
05057,2000,728.77
05057,2010,727.52
05059,2000,614.93
05059,2010,615.2
05061,2000,587.42
05061,2010,588.55
05063,2000,763.78
05063,2010,763.95
05065,2000,580.68
05065,2010,580.58
05067,2000,633.52
05067,2010,633.94
05069,2000,884.82
05069,2010,870.75
05071,2000,662.17
05071,2010,659.8
05073,2000,526.5
05073,2010,528.27
05075,2000,586.57
05075,2010,587.61
05077,2000,601.66
05077,2010,602.62
05079,2000,561.2
05079,2010,561.52
05081,2000,531.73
05081,2010,532.25
05083,2000,709.87
05083,2010,708.13
05085,2000,765.96
05085,2010,770.73
05087,2000,836.81
05087,2010,834.26
05089,2000,597.7
05089,2010,597.01
05091,2000,623.98
05091,2010,625.58
05093,2000,898.25
05093,2010,900.57
05095,2000,606.65
05095,2010,607.12
05097,2000,780.93
05097,2010,779.88
05099,2000,619.95
05099,2010,617.84
05101,2000,822.97
05101,2010,820.9
05103,2000,732.45
05103,2010,732.78
05105,2000,550.94
05105,2010,551.4
05107,2000,692.67
05107,2010,695.66
05109,2000,603.01
05109,2010,600.62
05111,2000,757.74
05111,2010,758.39
05113,2000,859.38
05113,2010,857.68
05115,2000,811.9
05115,2010,812.55
05117,2000,645.93
05117,2010,647.96
05119,2000,770.82
05119,2010,759.76
05121,2000,651.82
05121,2010,652.19
05123,2000,633.84
05123,2010,634.77
05125,2000,723.46
05125,2010,723.6
05127,2000,893.88
05127,2010,892.32
05129,2000,667.15
05129,2010,666.1
05131,2000,536.24
05131,2010,531.91
05133,2000,563.94
05133,2010,565.13
05135,2000,604.35
05135,2010,604.44
05137,2000,606.59
05137,2010,606.41
05139,2000,1038.9
05139,2010,1039.21
05141,2000,711.51
05141,2010,708.14
05143,2000,949.72
05143,2010,941.97
05145,2000,1034.03
05145,2010,1035.08
05147,2000,586.56
05147,2010,586.79
05149,2000,927.89
05149,2010,929.98
06000,2000,155959.34
06000,2010,155779.22
06001,2000,737.57
06001,2010,739.02
06003,2000,738.62
06003,2010,738.33
06005,2000,592.97
06005,2010,594.58
06007,2000,1639.49
06007,2010,1636.46
06009,2000,1020.04
06009,2010,1020.01
06011,2000,1150.68
06011,2010,1150.73
06013,2000,719.95
06013,2010,715.94
06015,2000,1007.81
06015,2010,1006.37
06017,2000,1710.85
06017,2010,1707.88
06019,2000,5962.73
06019,2010,5957.99
06021,2000,1314.79
06021,2010,1313.95
06023,2000,3572.49
06023,2010,3567.99
06025,2000,4174.73
06025,2010,4176.6
06027,2000,10203.1
06027,2010,10180.88
06029,2000,8140.96
06029,2010,8131.92
06031,2000,1390.99
06031,2010,1389.42
06033,2000,1257.96
06033,2010,1256.46
06035,2000,4557.27
06035,2010,4541.18
06037,2000,4060.87
06037,2010,4057.88
06039,2000,2135.86
06039,2010,2137.07
06041,2000,519.8
06041,2010,520.31
06043,2000,1451.12
06043,2010,1448.82
06045,2000,3508.97
06045,2010,3506.34
06047,2000,1928.69
06047,2010,1934.97
06049,2000,3944.1
06049,2010,3917.77
06051,2000,3044.4
06051,2010,3048.98
06053,2000,3321.95
06053,2010,3280.6
06055,2000,753.73
06055,2010,748.36
06057,2000,957.61
06057,2010,957.77
06059,2000,789.4
06059,2010,790.57
06061,2000,1404.37
06061,2010,1407.01
06063,2000,2553.69
06063,2010,2553.04
06065,2000,7207.37
06065,2010,7206.48
06067,2000,965.65
06067,2010,964.64
06069,2000,1389.06
06069,2010,1388.71
06071,2000,20052.5
06071,2010,20056.94
06073,2000,4199.89
06073,2010,4206.63
06075,2000,46.69
06075,2010,46.87
06077,2000,1399.28
06077,2010,1391.32
06079,2000,3304.32
06079,2010,3298.57
06081,2000,449.07
06081,2010,448.41
06083,2000,2737.01
06083,2010,2735.09
06085,2000,1290.69
06085,2010,1290.1
06087,2000,445.24
06087,2010,445.17
06089,2000,3785.19
06089,2010,3775.4
06091,2000,953.38
06091,2010,953.21
06093,2000,6286.78
06093,2010,6277.89
06095,2000,829.19
06095,2010,821.77
06097,2000,1575.88
06097,2010,1575.85
06099,2000,1493.79
06099,2010,1494.83
06101,2000,602.54
06101,2010,602.41
06103,2000,2950.99
06103,2010,2949.71
06105,2000,3178.61
06105,2010,3179.25
06107,2000,4823.97
06107,2010,4824.22
06109,2000,2235.41
06109,2010,2220.88
06111,2000,1845.3
06111,2010,1843.13
06113,2000,1013.27
06113,2010,1014.69
06115,2000,630.69
06115,2010,631.84
08000,2000,103717.53
08000,2010,103641.89
08001,2000,1191.93
08001,2010,1167.65
08003,2000,722.74
08003,2010,722.64
08005,2000,803.14
08005,2010,798.1
08007,2000,1350.22
08007,2010,1350.18
08009,2000,2555.72
08009,2010,2554.97
08011,2000,1513.9
08011,2010,1512.86
08013,2000,742.46
08013,2010,726.29
08014,2000,0
08014,2010,33.03
08015,2000,1013.45
08015,2010,1013.4
08017,2000,1781.35
08017,2010,1778.28
08019,2000,395.45
08019,2010,395.23
08021,2000,1287.22
08021,2010,1287.39
08023,2000,1227.1
08023,2010,1226.95
08025,2000,788.99
08025,2010,787.42
08027,2000,738.89
08027,2010,738.63
08029,2000,1142.11
08029,2010,1142.05
08031,2000,153.35
08031,2010,153
08033,2000,1066.97
08033,2010,1067.05
08035,2000,840.11
08035,2010,840.25
08037,2000,1687.88
08037,2010,1684.53
08039,2000,1850.78
08039,2010,1850.85
08041,2000,2126.45
08041,2010,2126.8
08043,2000,1532.93
08043,2010,1533.07
08045,2000,2947.06
08045,2010,2947.56
08047,2000,149.87
08047,2010,149.9
08049,2000,1846.67
08049,2010,1846.33
08051,2000,3238.81
08051,2010,3239.1
08053,2000,1117.68
08053,2010,1117.25
08055,2000,1590.87
08055,2010,1591
08057,2000,1613.21
08057,2010,1613.72
08059,2000,772.09
08059,2010,764.21
08061,2000,1770.99
08061,2010,1767.77
08063,2000,2160.87
08063,2010,2160.82
08065,2000,376.89
08065,2010,376.91
08067,2000,1692.15
08067,2010,1692.08
08069,2000,2601.3
08069,2010,2596
08071,2000,4772.63
08071,2010,4772.67
08073,2000,2586.09
08073,2010,2577.63
08075,2000,1838.52
08075,2010,1838.55
08077,2000,3327.75
08077,2010,3328.97
08079,2000,875.72
08079,2010,875.67
08081,2000,4742.25
08081,2010,4743.29
08083,2000,2036.63
08083,2010,2029.53
08085,2000,2240.61
08085,2010,2240.7
08087,2000,1285.36
08087,2010,1280.43
08089,2000,1262.86
08089,2010,1261.96
08091,2000,540.47
08091,2010,541.59
08093,2000,2200.69
08093,2010,2193.85
08095,2000,687.62
08095,2010,687.93
08097,2000,970.42
08097,2010,970.7
08099,2000,1640.38
08099,2010,1638.4
08101,2000,2388.69
08101,2010,2386.1
08103,2000,3220.97
08103,2010,3220.93
08105,2000,911.6
08105,2010,911.96
08107,2000,2361.59
08107,2010,2362.03
08109,2000,3168.44
08109,2010,3168.53
08111,2000,387.42
08111,2010,387.49
08113,2000,1286.5
08113,2010,1286.61
08115,2000,548.24
08115,2010,548.04
08117,2000,608.16
08117,2010,608.36
08119,2000,557.06
08119,2010,557.06
08121,2000,2520.98
08121,2010,2518.03
08123,2000,3992.45
08123,2010,3987.24
08125,2000,2365.79
08125,2010,2364.41
09000,2000,4844.8
09000,2010,4842.36
09001,2000,625.8
09001,2010,624.89
09003,2000,735.44
09003,2010,735.1
09005,2000,919.92
09005,2010,920.56
09007,2000,369.26
09007,2010,369.3
09009,2000,605.64
09009,2010,604.51
09011,2000,665.91
09011,2010,664.88
09013,2000,410.07
09013,2010,410.21
09015,2000,512.75
09015,2010,512.91
10000,2000,1953.56
10000,2010,1948.54
10001,2000,589.72
10001,2010,586.18
10003,2000,426.27
