fips,edu_2010
72029,14.0
72117,15.7
72097,20.3
72083,6.8
72087,7.7
72075,14.1
72119,15.1
72125,16.3
72045,7.6
72055,11.6
72011,12.0
72131,12.8
72033,16.4
72021,21.4
72111,9.5
72091,13.3
17083,16.5
17085,23.3
17087,10.3
17089,32.8
17091,16.8
17093,33.1
17095,14.9
17097,42.5
17099,16.3
17101,10.0
17103,15.0
17105,12.1
17107,16.1
17109,33.0
17111,33.3
17113,42.6
17115,22.2
17117,14.4
17119,24.1
17121,13.8
17123,17.6
17125,16.6
17127,15.0
17129,23.2
17131,15.2
17133,25.8
17135,12.8
17137,18.9
17139,14.0
17141,17.8
17143,30.4
17145,12.8
17147,21.8
17149,10.8
17151,3.6
17153,8.6
17155,14.4
17157,10.4
17159,17.6
17161,22.0
17163,25.4
17165,15.7
17167,32.6
17169,18.4
17171,19.5
17173,14.0
17175,13.5
17177,16.7
17179,25.1
17181,16.3
17183,14.1
17185,16.1
17187,20.0
17189,16.8
17191,12.6
17193,12.8
17195,16.3
17197,30.9
17199,22.6
17201,22.3
17203,26.1
18001,12.1
18003,27.9
01001,23.5
01003,28.7
01005,12.6
01007,10.2
01009,12.8
01011,9.6
01013,10.5
01015,16.8
01017,11.4
01019,10.9
01021,10.2
01023,9.8
01025,12.0
01027,9.1
01029,7.8
01031,23.6
01033,16.4
01035,7.9
01037,9.6
01039,13.1
01041,9.1
01043,13.8
01045,19.5
01047,11.3
01049,10.8
01051,20.6
01053,9.5
01055,16.2
01057,8.4
01059,11.1
01061,6.6
01063,3.2
01065,8.9
01067,13.4
01069,20.3
01071,12.2
01073,29.4
01075,6.9
01077,22.2
01079,10.5
01081,31.8
01083,21.1
01085,13.5
01087,19.1
01089,41.3
01091,17.6
01093,9.1
01095,15.6
01097,18.7
01099,11.2
01101,31.3
01103,20.4
01105,16.3
01107,10.4
01109,25.8
01111,11.0
01113,10.2
01115,13.4
01117,42.0
01119,11.3
01121,11.2
01123,16.6
01125,24.5
01127,10.2
01129,7.6
01131,16.0
01133,11.0
02013,8.4
02016,6.5
02020,32.7
02050,11.7
02060,13.3
02068,18.4
02070,14.0
02090,26.3
02100,31.6
02105,26.6
02110,33.9
02122,19.7
02130,24.9
02150,17.1
02164,10.4
02170,17.7
02180,11.8
02185,8.9
02188,10.7
02195,20.1
02198,17.0
02220,29.2
02230,32.6
02240,20.6
02261,22.2
02270,6.6
02275,17.2
02282,13.4
02290,8.8
04001,9.0
04003,23.3
04005,30.5
04007,17.9
04009,14.4
04011,12.7
04012,10.0
04013,30.7
04015,12.8
04017,14.2
04019,30.9
04021,17.1
04023,20.6
04025,25.1
04027,13.8
05001,14.7
05003,12.6
05005,17.3
05007,27.7
05009,14.6
05011,10.8
05013,5.9
05015,18.5
05017,10.5
05019,20.1
05021,7.2
05023,14.3
05025,14.1
05027,22.1
05029,11.4
05031,22.1
05033,13.4
05035,14.3
05037,10.6
05039,10.9
05041,13.4
05043,19.0
05045,25.8
05047,11.4
05049,12.1
05051,22.7
05053,14.2
05055,11.7
05057,15.0
05059,9.7
05061,13.8
05063,13.4
05065,12.2
05067,6.4
05069,14.8
05071,14.3
05073,11.3
05075,7.9
05077,7.5
05079,6.5
05081,10.2
05083,10.8
05085,16.8
05087,14.0
05089,14.6
05091,12.5
05093,10.6
05095,10.2
05097,11.0
05099,8.4
05101,11.5
05103,13.5
05105,11.9
05107,11.0
05109,8.8
05111,8.2
05113,10.4
05115,20.6
05117,11.2
05119,32.0
05121,9.3
05123,8.6
05125,22.8
05127,8.8
05129,7.7
05131,19.5
05133,8.0
05135,13.4
05137,8.3
05139,17.0
05141,15.3
05143,28.0
05145,17.1
05147,8.0
05149,10.4
06001,40.5
06003,27.8
06005,18.6
06007,24.4
06009,19.1
06011,13.3
06013,39.8
06015,12.2
06017,32.8
06019,19.7
06021,14.9
06023,26.0
06025,11.9
06027,21.4
06029,14.3
06031,10.5
06033,17.1
06035,10.2
06037,29.9
06039,14.4
06041,53.1
06043,17.8
06045,22.2
06047,12.3
06049,13.5
06051,28.3
06053,22.7
06055,30.0
06057,34.1
06059,38.4
06061,37.5
06063,18.9
06065,21.8
06067,28.4
06069,17.4
06071,18.3
06073,35.2
06075,51.8
06077,17.1
06079,30.5
06081,44.4
06083,31.8
06085,47.6
06087,37.3
06089,21.1
06091,15.9
06093,23.5
06095,23.1
06097,31.4
06099,16.4
06101,18.7
06103,12.8
06105,22.0
06107,12.8
06109,17.4
06111,32.6
06113,38.3
06115,12.5
08001,20.3
08003,22.9
08005,39.8
08007,38.6
08009,21.3
08011,12.9
08013,58.9
08014,49.0
08015,31.7
08017,20.9
08019,42.3
08021,19.2
08023,14.0
08025,11.5
08027,29.4
08029,17.3
08031,40.1
08033,10.9
08035,59.0
08037,42.1
08039,29.6
08041,36.9
08043,14.7
08045,22.1
08047,33.6
08049,25.4
08051,45.0
08053,35.9
08055,23.8
08057,25.0
08059,40.9
08061,20.0
08063,16.4
08065,20.2
08067,40.6
08069,43.2
08071,18.5
08073,13.2
08075,16.2
08077,25.1
08079,43.9
08081,15.3
08083,27.6
08085,24.9
08087,13.7
08089,14.2
08091,39.4
08093,30.3
08095,18.0
08097,61.4
08099,18.2
08101,20.8
08103,20.0
08105,16.3
08107,43.3
08109,22.0
08111,26.3
08113,50.5
08115,14.3
08117,46.0
08119,32.7
08121,16.4
08123,24.3
08125,16.7
09001,45.8
09003,34.3
09005,32.4
09007,37.4
09009,32.9
09011,31.5
09013,37.3
09015,20.0
10001,20.8
10003,32.9
10005,21.9
11001,50.8
12001,42.9
12003,5.0
12005,21.4
12007,8.0
12009,29.2
12011,31.4
12013,10.5
12015,23.0
12017,19.0
12019,25.0
12021,34.2
12023,14.6
12027,11.7
12029,6.5
12031,25.3
12033,25.0
12035,24.3
12037,15.7
12039,12.8
12041,10.2
12043,10.4
12045,11.3
12047,5.0
12049,6.0
12051,6.4
12053,17.7
12055,15.4
12057,30.2
12059,8.9
12061,29.5
12063,12.0
12065,14.5
12067,7.2
12069,22.0
12071,26.3
12073,42.8
12075,13.4
12077,15.3
12079,7.8
12081,27.7
12083,18.2
12085,32.0
12086,26.8
12087,29.9
12089,22.5
12091,29.5
12093,10.8
12095,31.0
12097,18.2
12099,34.6
12101,20.5
12103,29.1
12105,18.5
12107,12.5
12109,41.6
12111,18.2
12113,25.6
12115,32.4
12117,35.8
12119,21.2
12121,9.6
12123,12.5
12125,7.4
12127,22.3
12129,15.6
12131,25.1
12133,11.9
13001,9.5
13003,5.3
13005,6.6
13007,7.6
13009,15.6
13011,11.6
13013,14.1
13015,16.5
13017,11.9
13019,10.6
13021,23.6
13023,10.8
13025,3.7
13027,15.2
13029,29.6
13031,25.0
13033,8.3
13035,6.4
13037,8.2
13039,19.2
13043,17.3
13045,18.0
13047,18.7
13049,6.6
13051,29.6
13053,37.0
13055,6.4
13057,34.4
13059,43.6
13061,7.1
13063,15.8
13065,14.0
13067,45.7
13069,11.5
13071,10.2
13073,35.5
13075,11.3
13077,27.5
13079,11.6
13081,10.2
13083,15.5
13085,17.3
13087,12.2
13089,38.7
13091,12.1
13093,9.4
13095,18.2
13097,22.1
13099,11.2
13101,2.5
13103,13.5
13105,11.0
13107,9.6
13109,12.1
13111,16.5
13113,44.5
13115,16.7
13117,46.7
13119,11.5
13121,50.0
13123,13.8
13125,7.9
13127,27.3
13129,12.6
13131,7.4
13133,20.5
13135,35.8
13137,18.6
13139,20.6
13141,7.8
13143,10.1
13145,27.8
13147,17.1
13149,6.9
13151,23.9
13153,26.1
13155,8.3
13157,16.2
13159,12.9
13161,9.5
13163,8.4
13165,8.2
13167,7.3
13169,16.0
13171,7.7
13173,11.7
13175,14.6
13177,19.0
13179,13.9
13181,10.6
13183,5.9
13185,21.8
13187,19.2
13189,10.3
13191,15.3
13193,8.0
13195,13.3
13197,6.0
13199,8.4
13201,9.4
13205,9.2
13207,16.2
13209,14.3
13211,25.0
13213,6.6
13215,22.3
13217,17.3
13219,47.8
13221,12.8
13223,19.0
13225,17.7
13227,24.2
13229,9.7
13231,15.3
13233,10.5
13235,5.3
13237,17.4
13239,8.5
13241,27.7
13243,12.3
13245,20.2
