fips,inc_2010
72029,21934
72117,16067
72097,14059
72083,13847
72087,19460
72075,16496
72119,20850
72125,15016
72045,12927
72055,11870
72011,15244
72131,12115
72033,18144
72021,25294
72111,14872
72091,16564
17083,53470
17085,50279
17087,41619
17089,67767
17091,50484
17093,79897
17095,39545
17097,78948
17099,51705
17101,38771
17103,48502
17105,50500
17107,48999
17109,33702
17111,76482
17113,57642
17115,44337
17117,47178
17119,51941
17121,38974
17123,49116
17125,42461
17127,41077
17129,56230
17131,50909
17133,68253
17135,40864
17137,44645
17139,46364
17141,55733
17143,49747
17145,40696
17147,55752
17149,40205
17151,39672
17153,31173
17155,56458
17157,45020
17159,41917
17161,46226
17163,48562
17165,35644
17167,52232
17169,43686
17171,49462
17173,44627
17175,49195
17177,43304
17179,54232
17181,39760
17183,39456
17185,46026
17187,41636
17189,51440
17191,39207
17193,39728
17195,45266
17197,75906
17199,40579
17201,47198
17203,65890
18001,43317
18003,48714
01001,53255
01003,50147
01005,33219
01007,41770
01009,45549
01011,31602
01013,30659
01015,38407
01017,31467
01019,40690
01021,39486
01023,31076
01025,27439
01027,35595
01029,36077
01031,42253
01033,39610
01035,26944
01037,35560
01039,33852
01041,35140
01043,38567
01045,43353
01047,26029
01049,35065
01051,53128
01053,31927
01055,36422
01057,34560
01059,33942
01061,34140
01063,22222
01065,29299
01067,38379
01069,41022
01071,36312
01073,45244
01075,33887
01077,39345
01079,40516
01081,40894
01083,46682
01085,29714
01087,27544
01089,55851
01091,32940
01093,32769
01095,37661
01097,40996
01099,30235
01101,43725
01103,44349
01105,25950
01107,28280
01109,29181
01111,34593
01113,32481
01115,48837
01117,68380
01119,25338
01121,36948
01123,36904
01125,42311
01127,37191
01129,36431
01131,23491
01133,33685
02013,54375
02016,72917
02020,73004
02050,52214
02060,84000
02068,72500
02070,60800
02090,66598
02100,47981
02105,43750
02110,75517
02122,57454
02130,61695
02150,60776
02164,40909
02170,67703
02180,53899
02185,68517
02188,55217
02195,62317
02198,45728
02220,62024
02230,73500
02240,59596
02261,60383
02270,37955
02275,50389
02282,65750
02290,33712
04001,30184
04003,44876
04005,49510
04007,37580
04009,41683
04011,48696
04012,32147
04013,55054
04015,39785
04017,39774
04019,45521
04021,51310
04023,36519
04025,43290
04027,40340
05001,37230
05003,34934
05005,35606
05007,50434
05009,36977
05011,29908
05013,32450
05015,34235
05017,21676
05019,31968
05021,29066
05023,35753
05025,36957
05027,35148
05029,32700
05031,39233
05033,40197
05035,33716
05037,37021
05039,29602
05041,29051
05043,32558
05045,45287
05047,32064
05049,30598
05051,36844
05053,51589
05055,38209
05057,35708
05059,37150
05061,34554
05063,34625
05065,31673
05067,27615
05069,35998
05071,30592
05073,27515
05075,30288
05077,30494
05079,35737
05081,33416
05083,37551
05085,50757
05087,36502
05089,34109
05091,40307
05093,33407
05095,29964
05097,35705
05099,38375
05101,27441
05103,31259
05105,43635
05107,27361
05109,32806
05111,32267
05113,32525
05115,39841
05117,35346
05119,45121
05121,30222
05123,27019
05125,51502
05127,36417
05129,28811
05131,39482
05133,34383
05135,31135
05137,30380
05139,36464
05141,31960
05143,42303
05145,39178
05147,27186
05149,36606
06001,69384
06003,63478
06005,54758
06007,43170
06009,54971
06011,48016
06013,78385
06015,36118
06017,70000
06019,46430
06021,43074
06023,40089
06025,38685
06027,44808
06029,47089
06031,48684
06033,39491
06035,50317
06037,55476
06039,46039
06041,89268
06043,49098
06045,43759
06047,43844
06049,34588
06051,55087
06053,59271
06055,67389
06057,57121
06059,74344
06061,74447
06063,44000
06065,57768
06067,56439
06069,65771
06071,55845
06073,63069
06075,71304
06077,54341
06079,57365
06081,85648
06083,60078
06085,86850
06087,65253
06089,43944
06091,52950
06093,36981
06095,68409
06097,63274
06099,51094
06101,50944
06103,38137
06105,38725
06107,43851
06109,47462
06111,75348
06113,57077
06115,46807
08001,54666
08003,35935
08005,58719
08007,56068
08009,36017
08011,36412
08013,64839
08014,75590
08015,42941
08017,47125
08019,60426
08021,33627
08023,24388
08025,38189
08027,39909
08029,40451
08031,45501
08033,43058
08035,99198
08037,71337
08039,78958
08041,56268
08043,37847
08045,64902
08047,58036
08049,60433
08051,49356
08053,74659
08055,30058
08057,37222
08059,66075
08061,40089
08063,41678
08065,41103
08067,56422
08069,56447
08071,38134
08073,41616
08075,40961
08077,52067
08079,53438
08081,53587
08083,44103
08085,46590
08087,43111
08089,34142
08091,58393
08093,64098
08095,44084
08097,64502
08099,33969
08101,40699
08103,57992
08105,39871
08107,60876
08109,30430
08111,43783
08113,66399
08115,37625
08117,68750
08119,58080
08121,39735
08123,55596
08125,42114
09001,81268
09003,62590
09005,69639
09007,74906
09009,61114
09011,65419
09013,77175
09015,59370
10001,53183
10003,62474
10005,51046
11001,58526
12001,40644
12003,47276
12005,47770
12007,41126
12009,49523
12011,51694
12013,31699
12015,45037
12017,37933
12019,61185
12021,58106
12023,38214
12027,35979
12029,32312
12031,49463
12033,43573
12035,48090
12037,36490
12039,35728
12041,37039
12043,39429
12045,39178
12047,37613
12049,37466
12051,37298
12053,42011
12055,34946
12057,49536
12059,32247
12061,47341
12063,38257
12065,41359
12067,46445
12069,46477
12071,50014
12073,44490
12075,35737
12077,40777
12079,37459
12081,47812
12083,40339
12085,53210
12086,43605
12087,53821
12089,58712
12091,54242
12093,38339
12095,50138
12097,46328
12099,53242
12101,44228
12103,45258
12105,43946
12107,34645
12109,62663
12111,45196
12113,55129
12115,49388
12117,58971
12119,43079
12121,36352
12123,37408
12125,41794
12127,44400
12129,53301
12131,47273
12133,36216
13001,36155
13003,33834
13005,31429
13007,27462
13009,37237
13011,40455
13013,48958
13015,49216
13017,30134
13019,32202
13021,38798
13023,35661
13025,37343
13027,41309
13029,63244
13031,34327
13033,33155
13035,52257
13037,30522
13039,49230
13043,35828
13045,45559
13047,46544
13049,40850
13051,44928
13053,51089
13055,32419
13057,66320
13059,34253
13061,26250
13063,43311
13065,31963
13067,65522
13069,35202
13071,32902
13073,66333
13075,31390
13077,61550
13079,37062
13081,29960
13083,39760
13085,51128
13087,33297
13089,51349
13091,33580
13093,31038
13095,32435
13097,55852
13099,26928
13101,32390
13103,56903
13105,30543
13107,30205
13109,40796
13111,34145
13113,82216
13115,41066
13117,87605
13119,36739
13121,56709
13123,36741
13125,37149
13127,50337
13129,40916
13131,32247
13133,38513
13135,63219
13137,40192
13139,50876
13141,22283
13143,38996
13145,67018
13147,36109
13149,42685
13151,63923
13153,55098
13155,38376
13157,51506
13159,42081
13161,32928
13163,29268
13165,27686
13167,27607
13169,50717
13171,37536
13173,37522
13175,38280
13177,59811
13179,42674
13181,36399
13183,41186
13185,39096
13187,43394
13189,35414
13191,39075
13193,27950
13195,41343
13197,31581
13199,37845
13201,33196
13205,36198
13207,48297
13209,35182
13211,45817
13213,38226
13215,41331
13217,52361
13219,74352
13221,39319
13223,62348
13225,41014
13227,49945
13229,37062
13231,53213
13233,38646
13235,36262
13237,41529
13239,28912
13241,34406
13243,26194
13245,37882
13247,55779
13249,35096
13251,32155
13253,32666
13255,41100
13257,34938
13259,30954
13261,32430
13263,33873
13265,22188
13267,38522
13269,25237
13271,23876
13273,27909
13275,35797
13277,36847
13279,31635
13281,39540
13283,36467
13285,41770
13287,30763
13289,26521
13291,41298
13293,34509
13295,38723
13297,51721
13299,35517
13301,31043
13303,31382
13305,37340
13307,25708
13309,35422
13311,41756
13313,42345
13315,30784
13317,28022
13319,37902
13321,38670
15001,54996
15003,70093
15005,41806
15007,62531
15009,63989
16001,55835
16003,36004
16005,44848
16007,43374
16009,37500
16011,44128
16013,61854
16015,48789
16017,41943
16019,50445
16021,37712
16023,39413
16025,44145
16027,43218
16029,44958
16031,39866
16033,40909
16035,41835
16037,41910
16039,43089
16041,45682
16043,42523
16045,42794
16047,37228
16049,34536
16051,51579
16053,39188
16055,46336
16057,36974
16059,36411
16061,35808
16063,45714
16065,35461
16067,40350
16069,44395
16071,44599
16073,33441
16075,43559
16077,40843
16079,36654
16081,53364
16083,42455
16085,50851
16087,36542
17001,43824
17003,28833
17005,51946
17007,61210
17009,38696
17011,45692
17013,44891
17015,44805
17017,41544
17019,45262
17021,41712
17023,43597
17025,38016
17027,55278
17029,36457
17031,53942
17033,41434
17035,42101
17037,54002
17039,45347
17041,46941
17043,76581
17045,39904
17047,40430
17049,49509
17051,41269
17053,48667
17055,34381
17057,41268
17059,38003
17061,41450
17063,64297
17065,35032
17067,42857
17069,27578
17071,43450
17073,49164
17075,47323
17077,32169
17079,46546
17081,41161
29189,57561
29195,38818
29197,31358
29199,39722
29201,37716
29203,30766
29205,35012
29207,35932
29209,41351
29211,30459
29213,39026
29215,31552
29217,34387
29219,50231
29221,35901
29223,30621
29225,40889
29227,38220
29229,29636
29510,33652
30001,38264
30003,36550
30005,37034
30007,44667
30009,49010
30011,35703
30013,42389
30015,41064
30017,38913
30019,38125
30021,50752
30023,35310
30025,52529
30027,37607
30029,44998
30031,50136
30033,42955
30035,38075
30037,35726
30039,36052
30041,43606
30043,56695
30045,41473
30047,37274
30049,50238
30051,40212
30053,30823
30055,48167
30057,42998
30059,31577
30061,37256
30063,42887
30065,37033
30067,38830
30069,36875
30071,36453
30073,36419
30075,37685
30077,39851
30079,34896
30081,43000
30083,52516
30085,37451
18005,52742
18007,46318
18009,41989
18011,68594
18013,50139
18015,48055
18017,42587
18019,47368
18021,44666
18023,48416
18025,37988
18027,44592
18029,56789
18031,46894
18033,46722
18035,38066
18037,52871
18039,47258
18041,37038
18043,52422
18045,42817
18047,51649
18049,40372
18051,46872
18053,38985
18055,41103
18057,81947
18059,61052
18061,51272
18063,67180
18065,41087
18067,45003
18069,45964
18071,43980
18073,55093
18075,39886
18077,42707
18079,43755
18081,61629
18083,39523
18085,50217
18087,47792
18089,48723
18091,46014
18093,40380
18095,43256
18097,43541
18099,50141
18101,43406
18103,39485
18105,38137
18107,47694
18109,55427
18111,50721
18113,45818
18115,50966
18117,37120
18119,44285
18121,40512
18123,45108
18125,41222
18127,60889
18129,57530
18131,44016
18133,48992
18135,40990
18137,48093
18139,46685
18141,44644
18143,39588
18145,52292
18147,52105
18149,37480
18151,47479
18153,44184
18155,44503
18157,42632
18159,51485
18161,43257
18163,42396
18165,41904
18167,38508
18169,43157
18171,49238
18173,62354
18175,39722
18177,41123
18179,47202
18181,45891
18183,52129
19001,45202
19003,40368
19005,46623
19007,34689
19009,42717
19011,54726
19013,44178
19015,49578
19017,55676
19019,51961
19021,43182
19023,47702
19025,41611
19027,47507
19029,40820
19031,54321
19033,44741
19035,44635
19037,41372
19039,45596
19041,43542
19043,45873
19045,46170
19047,44377
19049,67037
19051,46597
19053,37138
19055,47078
19057,41937
19059,50174
19061,48573
19063,42286
19065,41055
19067,39467
19069,44863
19071,47225
19073,43286
19075,56184
19077,50090
19079,46188
19081,47318
19083,44694
19085,51303
19087,41983
19089,46068
19091,45282
19093,44521
19095,56053
19097,42489
19099,46396
19101,44167
19103,51380
19105,47955
19107,42698
19109,48277
19111,42444
19113,53674
19115,50457
19117,43005
19119,49506
19121,53183
19123,45025
19125,53370
19127,45232
19129,59481
19131,48506
19133,41398
19135,43245
19137,38624
19139,51025
19141,44018
19143,43889
19145,40778
19147,42800
19149,56379
19151,42105
19153,56094
19155,48728
19157,50998
19159,42336
19161,42986
19163,49964
19165,44085
19167,51557
19169,48248
19171,46288
19173,40300
19175,40879
19177,40073
19179,40093
19181,62034
19183,50710
19185,35425
19187,40806
19189,41871
19191,50693
19193,44343
19195,49673
19197,44035
20001,41546
20003,40428
20005,44175
20007,38875
20009,43763
20011,38045
20013,37525
20015,56290
20017,40372
20019,35848
20021,38154
20023,31186
20025,37931
20027,42490
20029,35838
20031,47171
20033,34808
20035,40749
20037,35286
20039,35383
20041,46457
20043,43410
20045,45831
20047,39226
20049,33455
20051,44543
20053,42200
20055,50454
20057,46621
20059,49459
20061,45559
20063,41295
20065,43980
20067,55514
20069,52824
20071,55972
20073,37180
20075,36297
20077,38168
20079,46604
20081,45859
20083,41127
20085,51759
20087,56886
20089,37759
20091,73733
20093,46435
20095,44510
20097,37292
20099,39049
20101,42311
20103,61107
20105,41071
20107,44379
20109,39375
20111,36921
20113,53026
20115,45713
20117,43125
20119,46658
20121,60539
20123,44247
20125,40603
20127,42083
20129,42273
20131,46134
20133,36702
20135,47639
20137,32016
20139,48594
20141,34797
20143,50814
20145,40048
20147,44381
20149,53430
20151,43583
20153,39797
20155,41431
20157,38286
20159,43164
20161,39257
20163,37861
20165,39435
20167,36135
20169,45162
20171,58341
20173,47848
20175,41373
20177,47464
20179,46739
20181,41570
20183,39836
20185,39375
20187,49612
20189,50517
20191,49582
20193,47033
20195,39655
20197,52133
20199,43953
20201,39698
20203,44318
20205,39301
20207,30385
20209,38503
21001,29834
21003,35247
21005,55506
21007,41228
21009,38374
21011,30458
21013,24724
21015,66549
21017,40849
21019,38802
21021,40720
21023,38481
21025,19906
21027,37395
21029,51526
21031,33703
21033,35289
21035,39194
21037,51482
21039,33909
21041,43440
21043,32424
21045,26592
21047,37061
21049,46575
21051,20175
21053,23788
21055,34623
21057,28135
21059,42821
21061,35808
21063,22097
21065,28324
21067,47469
21069,31236
21071,27907
21073,47976
21075,31965
21077,41310
21079,37095
21081,42475
21083,35277
21085,33965
21087,36575
21089,42377
21091,44892
21093,47540
21095,26582
21097,40582
21099,30969
21101,40438
21103,43612
21105,31836
21107,39312
21109,21928
21111,45352
21113,47494
21115,30820
21117,53213
21119,29451
21121,21493
21123,38891
21125,36787
21127,28865
21129,25129
21131,26857
21133,31283
21135,28376
21137,32314
21139,39075
21141,34647
21143,42079
21145,41630
21147,22643
21149,39115
21151,41894
21153,22779
21155,37488
21157,43326
21159,25173
21161,40523
21163,43800
21165,29740
21167,47955
21169,34732
21171,28439
21173,36034
21175,30229
21177,36750
21179,44783
21181,40259
21183,36050
21185,79417
21187,46238
21189,19351
21191,44670
21193,29547
21195,32563
21197,31815
21199,32771
21201,27254
21203,26946
21205,31604
21207,29980
21209,58028
21211,55296
21213,41323
21215,59326
21217,35378
21219,36989
21221,41825
21223,47798
21225,39515
21227,43954
21229,43090
21231,25993
21233,39635
21235,28122
21237,20910
21239,56537
22001,37261
22003,36926
22005,63716
22007,45235
22009,31412
22011,45202
22013,31870
22015,51020
22017,37181
22019,43758
22021,37423
22023,59555
22025,36398
22027,32292
22029,30062
22031,38007
22033,46179
22035,24038
22037,35335
22039,34057
22041,32311
22043,40092
22045,41783
22047,42215
22049,40674
22051,48175
22053,42907
22055,47559
22057,47492
22059,37572
22061,35247
22063,54708
22065,26441
22067,31781
22069,30326
22071,37468
22073,39823
22075,54730
22077,41177
22079,40658
22081,34723
22083,37682
22085,35395
